symbol,date,price
Microsoft,Aug 1 2004,22.47
Microsoft,Sep 1 2004,22.76
Microsoft,Oct 1 2004,23.02
Microsoft,Nov 1 2004,24.6
Microsoft,Dec 1 2004,24.52
Microsoft,Jan 1 2005,24.11
Microsoft,Feb 1 2005,23.15
Microsoft,Mar 1 2005,22.24
Microsoft,Apr 1 2005,23.28
Microsoft,May 1 2005,23.82
Microsoft,Jun 1 2005,22.93
Microsoft,Jul 1 2005,23.64
Microsoft,Aug 1 2005,25.35
Microsoft,Sep 1 2005,23.83
Microsoft,Oct 1 2005,23.8
Microsoft,Nov 1 2005,25.71
Microsoft,Dec 1 2005,24.29
Microsoft,Jan 1 2006,26.14
Microsoft,Feb 1 2006,25.04
Microsoft,Mar 1 2006,25.36
Microsoft,Apr 1 2006,22.5
Microsoft,May 1 2006,21.19
Microsoft,Jun 1 2006,21.8
Microsoft,Jul 1 2006,22.51
Microsoft,Aug 1 2006,24.13
Microsoft,Sep 1 2006,25.68
Microsoft,Oct 1 2006,26.96
Microsoft,Nov 1 2006,27.66
Microsoft,Dec 1 2006,28.13
Microsoft,Jan 1 2007,29.07
Microsoft,Feb 1 2007,26.63
Microsoft,Mar 1 2007,26.35
Microsoft,Apr 1 2007,28.3
Microsoft,May 1 2007,29.11
Microsoft,Jun 1 2007,27.95
Microsoft,Jul 1 2007,27.5
Microsoft,Aug 1 2007,27.34
Microsoft,Sep 1 2007,28.04
Microsoft,Oct 1 2007,35.03
Microsoft,Nov 1 2007,32.09
Microsoft,Dec 1 2007,34.0
Microsoft,Jan 1 2008,31.13
Microsoft,Feb 1 2008,26.07
Microsoft,Mar 1 2008,27.21
Microsoft,Apr 1 2008,27.34
Microsoft,May 1 2008,27.25
Microsoft,Jun 1 2008,26.47
Microsoft,Jul 1 2008,24.75
Microsoft,Aug 1 2008,26.36
Microsoft,Sep 1 2008,25.78
Microsoft,Oct 1 2008,21.57
Microsoft,Nov 1 2008,19.66
Microsoft,Dec 1 2008,18.91
Microsoft,Jan 1 2009,16.63
Microsoft,Feb 1 2009,15.81
Microsoft,Mar 1 2009,17.99
Microsoft,Apr 1 2009,19.84
Microsoft,May 1 2009,20.59
Microsoft,Jun 1 2009,23.42
Microsoft,Jul 1 2009,23.18
Microsoft,Aug 1 2009,24.43
Microsoft,Sep 1 2009,25.49
Microsoft,Oct 1 2009,27.48
Microsoft,Nov 1 2009,29.27
Microsoft,Dec 1 2009,30.34
Microsoft,Jan 1 2010,28.05
Microsoft,Feb 1 2010,28.67
Microsoft,Mar 1 2010,28.8
Amazon,Aug 1 2004,38.14
Amazon,Sep 1 2004,40.86
Amazon,Oct 1 2004,34.13
Amazon,Nov 1 2004,39.68
Amazon,Dec 1 2004,44.29
Amazon,Jan 1 2005,43.22
Amazon,Feb 1 2005,35.18
Amazon,Mar 1 2005,34.27
Amazon,Apr 1 2005,32.36
Amazon,May 1 2005,35.51
Amazon,Jun 1 2005,33.09
Amazon,Jul 1 2005,45.15
Amazon,Aug 1 2005,42.7
Amazon,Sep 1 2005,45.3
Amazon,Oct 1 2005,39.86
Amazon,Nov 1 2005,48.46
Amazon,Dec 1 2005,47.15
Amazon,Jan 1 2006,44.82
Amazon,Feb 1 2006,37.44
Amazon,Mar 1 2006,36.53
Amazon,Apr 1 2006,35.21
Amazon,May 1 2006,34.61
Amazon,Jun 1 2006,38.68
Amazon,Jul 1 2006,26.89
Amazon,Aug 1 2006,30.83
Amazon,Sep 1 2006,32.12
Amazon,Oct 1 2006,38.09
Amazon,Nov 1 2006,40.34
Amazon,Dec 1 2006,39.46
Amazon,Jan 1 2007,37.67
Amazon,Feb 1 2007,39.14
Amazon,Mar 1 2007,39.79
Amazon,Apr 1 2007,61.33
Amazon,May 1 2007,69.14
Amazon,Jun 1 2007,68.41
Amazon,Jul 1 2007,78.54
Amazon,Aug 1 2007,79.91
Amazon,Sep 1 2007,93.15
Amazon,Oct 1 2007,89.15
Amazon,Nov 1 2007,90.56
Amazon,Dec 1 2007,92.64
Amazon,Jan 1 2008,77.7
Amazon,Feb 1 2008,64.47
Amazon,Mar 1 2008,71.3
Amazon,Apr 1 2008,78.63
Amazon,May 1 2008,81.62
Amazon,Jun 1 2008,73.33
Amazon,Jul 1 2008,76.34
Amazon,Aug 1 2008,80.81
Amazon,Sep 1 2008,72.76
Amazon,Oct 1 2008,57.24
Amazon,Nov 1 2008,42.7
Amazon,Dec 1 2008,51.28
Amazon,Jan 1 2009,58.82
Amazon,Feb 1 2009,64.79
Amazon,Mar 1 2009,73.44
Amazon,Apr 1 2009,80.52
Amazon,May 1 2009,77.99
Amazon,Jun 1 2009,83.66
Amazon,Jul 1 2009,85.76
Amazon,Aug 1 2009,81.19
Amazon,Sep 1 2009,93.36
Amazon,Oct 1 2009,118.81
Amazon,Nov 1 2009,135.91
Amazon,Dec 1 2009,134.52
Amazon,Jan 1 2010,125.41
Amazon,Feb 1 2010,118.4
Amazon,Mar 1 2010,128.82
IBM,Aug 1 2004,78.17
IBM,Sep 1 2004,79.13
IBM,Oct 1 2004,82.84
IBM,Nov 1 2004,87.15
IBM,Dec 1 2004,91.16
IBM,Jan 1 2005,86.39
IBM,Feb 1 2005,85.78
IBM,Mar 1 2005,84.66
IBM,Apr 1 2005,70.77
IBM,May 1 2005,70.18
IBM,Jun 1 2005,68.93
IBM,Jul 1 2005,77.53
IBM,Aug 1 2005,75.07
IBM,Sep 1 2005,74.7
IBM,Oct 1 2005,76.25
IBM,Nov 1 2005,82.98
IBM,Dec 1 2005,76.73
IBM,Jan 1 2006,75.89
IBM,Feb 1 2006,75.09
IBM,Mar 1 2006,77.17
IBM,Apr 1 2006,77.05
IBM,May 1 2006,75.04
IBM,Jun 1 2006,72.15
IBM,Jul 1 2006,72.7
IBM,Aug 1 2006,76.35
IBM,Sep 1 2006,77.26
IBM,Oct 1 2006,87.06
IBM,Nov 1 2006,86.95
IBM,Dec 1 2006,91.9
IBM,Jan 1 2007,93.79
IBM,Feb 1 2007,88.18
IBM,Mar 1 2007,89.44
IBM,Apr 1 2007,96.98
IBM,May 1 2007,101.54
IBM,Jun 1 2007,100.25
IBM,Jul 1 2007,105.4
IBM,Aug 1 2007,111.54
IBM,Sep 1 2007,112.6
IBM,Oct 1 2007,111.0
IBM,Nov 1 2007,100.9
IBM,Dec 1 2007,103.7
IBM,Jan 1 2008,102.75
IBM,Feb 1 2008,109.64
IBM,Mar 1 2008,110.87
IBM,Apr 1 2008,116.23
IBM,May 1 2008,125.14
IBM,Jun 1 2008,114.6
IBM,Jul 1 2008,123.74
IBM,Aug 1 2008,118.16
IBM,Sep 1 2008,113.53
IBM,Oct 1 2008,90.24
IBM,Nov 1 2008,79.65
IBM,Dec 1 2008,82.15
IBM,Jan 1 2009,89.46
IBM,Feb 1 2009,90.32
IBM,Mar 1 2009,95.09
IBM,Apr 1 2009,101.29
IBM,May 1 2009,104.85
IBM,Jun 1 2009,103.01
IBM,Jul 1 2009,116.34
IBM,Aug 1 2009,117.0
IBM,Sep 1 2009,118.55
IBM,Oct 1 2009,119.54
IBM,Nov 1 2009,125.79
IBM,Dec 1 2009,130.32
IBM,Jan 1 2010,121.85
IBM,Feb 1 2010,127.16
IBM,Mar 1 2010,125.55
Google,Aug 1 2004,102.37
Google,Sep 1 2004,129.6
Google,Oct 1 2004,190.64
Google,Nov 1 2004,181.98
Google,Dec 1 2004,192.79
Google,Jan 1 2005,195.62
Google,Feb 1 2005,187.99
Google,Mar 1 2005,180.51
Google,Apr 1 2005,220.0
Google,May 1 2005,277.27
Google,Jun 1 2005,294.15
Google,Jul 1 2005,287.76
Google,Aug 1 2005,286.0
Google,Sep 1 2005,316.46
Google,Oct 1 2005,372.14
Google,Nov 1 2005,404.91
Google,Dec 1 2005,414.86
Google,Jan 1 2006,432.66
Google,Feb 1 2006,362.62
Google,Mar 1 2006,390.0
Google,Apr 1 2006,417.94
Google,May 1 2006,371.82
Google,Jun 1 2006,419.33
Google,Jul 1 2006,386.6
Google,Aug 1 2006,378.53
Google,Sep 1 2006,401.9
Google,Oct 1 2006,476.39
Google,Nov 1 2006,484.81
Google,Dec 1 2006,460.48
Google,Jan 1 2007,501.5
Google,Feb 1 2007,449.45
Google,Mar 1 2007,458.16
Google,Apr 1 2007,471.38
Google,May 1 2007,497.91
Google,Jun 1 2007,522.7
Google,Jul 1 2007,510.0
Google,Aug 1 2007,515.25
Google,Sep 1 2007,567.27
Google,Oct 1 2007,707.0
Google,Nov 1 2007,693.0
Google,Dec 1 2007,691.48
Google,Jan 1 2008,564.3
Google,Feb 1 2008,471.18
Google,Mar 1 2008,440.47
Google,Apr 1 2008,574.29
Google,May 1 2008,585.8
Google,Jun 1 2008,526.42
Google,Jul 1 2008,473.75
Google,Aug 1 2008,463.29
Google,Sep 1 2008,400.52
Google,Oct 1 2008,359.36
Google,Nov 1 2008,292.96
Google,Dec 1 2008,307.65
Google,Jan 1 2009,338.53
Google,Feb 1 2009,337.99
Google,Mar 1 2009,348.06
Google,Apr 1 2009,395.97
Google,May 1 2009,417.23
Google,Jun 1 2009,421.59
Google,Jul 1 2009,443.05
Google,Aug 1 2009,461.67
Google,Sep 1 2009,495.85
Google,Oct 1 2009,536.12
Google,Nov 1 2009,583.0
Google,Dec 1 2009,619.98
Google,Jan 1 2010,529.94
Google,Feb 1 2010,526.8
Google,Mar 1 2010,560.19
Apple,Aug 1 2004,17.25
Apple,Sep 1 2004,19.38
Apple,Oct 1 2004,26.2
Apple,Nov 1 2004,33.53
Apple,Dec 1 2004,32.2
Apple,Jan 1 2005,38.45
Apple,Feb 1 2005,44.86
Apple,Mar 1 2005,41.67
Apple,Apr 1 2005,36.06
Apple,May 1 2005,39.76
Apple,Jun 1 2005,36.81
Apple,Jul 1 2005,42.65
Apple,Aug 1 2005,46.89
Apple,Sep 1 2005,53.61
Apple,Oct 1 2005,57.59
Apple,Nov 1 2005,67.82
Apple,Dec 1 2005,71.89
Apple,Jan 1 2006,75.51
Apple,Feb 1 2006,68.49
Apple,Mar 1 2006,62.72
Apple,Apr 1 2006,70.39
Apple,May 1 2006,59.77
Apple,Jun 1 2006,57.27
Apple,Jul 1 2006,67.96
Apple,Aug 1 2006,67.85
Apple,Sep 1 2006,76.98
Apple,Oct 1 2006,81.08
Apple,Nov 1 2006,91.66
Apple,Dec 1 2006,84.84
Apple,Jan 1 2007,85.73
Apple,Feb 1 2007,84.61
Apple,Mar 1 2007,92.91
Apple,Apr 1 2007,99.8
Apple,May 1 2007,121.19
Apple,Jun 1 2007,122.04
Apple,Jul 1 2007,131.76
Apple,Aug 1 2007,138.48
Apple,Sep 1 2007,153.47
Apple,Oct 1 2007,189.95
Apple,Nov 1 2007,182.22
Apple,Dec 1 2007,198.08
Apple,Jan 1 2008,135.36
Apple,Feb 1 2008,125.02
Apple,Mar 1 2008,143.5
Apple,Apr 1 2008,173.95
Apple,May 1 2008,188.75
Apple,Jun 1 2008,167.44
Apple,Jul 1 2008,158.95
Apple,Aug 1 2008,169.53
Apple,Sep 1 2008,113.66
Apple,Oct 1 2008,107.59
Apple,Nov 1 2008,92.67
Apple,Dec 1 2008,85.35
Apple,Jan 1 2009,90.13
Apple,Feb 1 2009,89.31
Apple,Mar 1 2009,105.12
Apple,Apr 1 2009,125.83
Apple,May 1 2009,135.81
Apple,Jun 1 2009,142.43
Apple,Jul 1 2009,163.39
Apple,Aug 1 2009,168.21
Apple,Sep 1 2009,185.35
Apple,Oct 1 2009,188.5
Apple,Nov 1 2009,199.91
Apple,Dec 1 2009,210.73
Apple,Jan 1 2010,192.06
Apple,Feb 1 2010,204.62
Apple,Mar 1 2010,223.02
